source_system,order_number,line_number,store_id,sku,quantity,unit_price,discount_amount,gross_amount,vat_amount,net_amount,country,currency_code,category,order_local_ts,order_utc_ts,ingestion_date
OMS,ORD800000,1,2007,SKU00257,3,51.91,23.55,132.18,19.83,112.35,KSA,SAR,Electronics,2025-08-16 17:17:33+0300,2025-08-16 14:17:33+0000,2025-08-03
OMS,ORD800000,2,2007,SKU00120,3,91.98,14.43,261.51,39.23,222.28,KSA,SAR,Accessories,2025-08-16 17:17:33+0300,2025-08-16 14:17:33+0000,2025-08-03
OMS,ORD800000,3,2007,SKU00224,3,86.1,41.2,217.1,32.56,184.54,KSA,SAR,Fashion,2025-08-16 17:17:33+0300,2025-08-16 14:17:33+0000,2025-08-03
OMS,ORD800001,1,2006,SKU00122,2,55.26,3.34,107.18,5.36,101.82,UAE,AED,Accessories,2025-08-08 07:45:07+0400,2025-08-08 03:45:07+0000,2025-08-03
OMS,ORD800001,2,2006,SKU00215,3,88.8,11.98,254.42,12.72,241.7,UAE,AED,Electronics,2025-08-08 07:45:07+0400,2025-08-08 03:45:07+0000,2025-08-03
OMS,ORD800002,1,2006,SKU00251,3,96.99,13.66,277.31,13.87,263.44,UAE,AED,HomeAppliance,2025-08-20 04:00:09+0400,2025-08-20 00:00:09+0000,2025-08-03
OMS,ORD800002,2,2006,SKU00250,3,88.82,1.88,264.58,13.23,251.35,UAE,AED,Fashion,2025-08-20 04:00:09+0400,2025-08-20 00:00:09+0000,2025-08-03
OMS,ORD800002,3,2006,SKU00092,2,103.27,4.94,201.6,10.08,191.52,UAE,AED,HomeAppliance,2025-08-20 04:00:09+0400,2025-08-20 00:00:09+0000,2025-08-03
OMS,ORD800002,4,2006,SKU00073,3,93.92,22.31,259.45,12.97,246.48,UAE,AED,Accessories,2025-08-20 04:00:09+0400,2025-08-20 00:00:09+0000,2025-08-03
OMS,ORD800003,1,2004,SKU00174,1,47.75,1.62,46.13,6.92,39.21,KSA,SAR,Accessories,2025-08-03 08:15:27+0300,2025-08-03 05:15:27+0000,2025-08-03
OMS,ORD800003,2,2004,SKU00231,3,108.0,18.39,305.61,45.84,259.77,KSA,SAR,Fashion,2025-08-03 08:15:27+0300,2025-08-03 05:15:27+0000,2025-08-03
OMS,ORD800003,3,2004,SKU00167,2,80.11,10.03,150.19,22.53,127.66,KSA,SAR,HomeAppliance,2025-08-03 08:15:27+0300,2025-08-03 05:15:27+0000,2025-08-03
