source_system,payment_id,order_number,store_id,payment_type,payment_status,payment_method,amount_native,fee_native,currency_code,payment_local_ts,payment_utc_ts,ingestion_date
PSP,881237,ORD801100,2004,Capture,Completed,VISA,176.72,3.06,SAR,2025-09-20 15:57:41+0300,2025-09-20 12:57:41+0000,2025-09-03
PSP,881238,ORD801102,2007,Capture,Completed,BNPL,37.01,0.33,SAR,2025-09-01 07:14:48+0300,2025-09-01 04:14:48+0000,2025-09-03
PSP,881239,ORD801103,2000,Capture,Completed,CASH,92.41,0.0,AED,2025-09-22 02:52:16+0400,2025-09-21 22:52:16+0000,2025-09-03
PSP,881240,ORD801104,2005,Capture,Completed,VISA,382.37,2.78,SAR,2025-09-08 15:32:49+0300,2025-09-08 12:32:49+0000,2025-09-03
PSP,881241,ORD801105,2007,Capture,Completed,MASTERCARD,76.22,1.2,SAR,2025-09-21 15:02:36+0300,2025-09-21 12:02:36+0000,2025-09-03
PSP,881242,ORD801106,2002,Capture,Failed,CASH,0.0,0.0,AED,2025-09-06 12:36:58+0400,2025-09-06 08:36:58+0000,2025-09-03
PSP,881243,ORD801107,2007,Capture,Completed,VISA,124.13,2.3,SAR,2025-09-05 09:31:34+0300,2025-09-05 06:31:34+0000,2025-09-03
PSP,881244,ORD801108,2000,Capture,Completed,VISA,88.05,1.44,AED,2025-09-20 17:35:40+0400,2025-09-20 13:35:40+0000,2025-09-03
PSP,881245,ORD801109,2003,Capture,Completed,CASH,227.49,0.0,SAR,2025-09-29 01:43:50+0300,2025-09-28 22:43:50+0000,2025-09-03
PSP,881246,ORD801110,2006,Capture,Failed,CASH,0.0,0.0,AED,2025-09-18 16:57:16+0400,2025-09-18 12:57:16+0000,2025-09-03
PSP,881247,ORD801111,2006,Capture,Completed,MASTERCARD,798.26,14.82,AED,2025-09-23 10:28:40+0400,2025-09-23 06:28:40+0000,2025-09-03
PSP,881248,ORD801112,2007,Capture,Completed,BNPL,34.02,0.18,SAR,2025-09-08 22:51:41+0300,2025-09-08 19:51:41+0000,2025-09-03
PSP,881249,ORD801112,2007,Capture,Completed,WALLET,87.47,1.56,SAR,2025-09-08 22:20:41+0300,2025-09-08 19:20:41+0000,2025-09-03
PSP,881250,ORD801113,2006,Capture,Completed,VISA,340.65,1.84,AED,2025-09-07 07:27:55+0400,2025-09-07 03:27:55+0000,2025-09-03
PSP,881251,ORD801114,2000,Capture,Completed,VISA,199.22,1.01,AED,2025-09-01 18:41:59+0400,2025-09-01 14:41:59+0000,2025-09-03
PSP,881252,ORD801114,2000,Refund,Completed,CASH,138.24,0.0,AED,2025-09-11 18:57:59+0400,2025-09-11 14:57:59+0000,2025-09-20
PSP,881253,ORD801115,2006,Capture,Completed,VISA,73.38,1.26,AED,2025-09-27 18:44:59+0400,2025-09-27 14:44:59+0000,2025-09-03
PSP,881254,ORD801117,2007,Capture,Completed,CASH,140.63,0.0,SAR,2025-09-20 06:17:40+0300,2025-09-20 03:17:40+0000,2025-09-03
PSP,881255,ORD801117,2007,Capture,Completed,MASTERCARD,59.68,0.93,SAR,2025-09-20 06:26:40+0300,2025-09-20 03:26:40+0000,2025-09-03
PSP,881256,ORD801118,2005,Capture,Completed,CASH,243.83,0.0,SAR,2025-09-05 08:14:43+0300,2025-09-05 05:14:43+0000,2025-09-03
PSP,881257,ORD801119,2000,Capture,Completed,VISA,70.13,0.73,AED,2025-09-28 20:32:07+0400,2025-09-28 16:32:07+0000,2025-09-03
PSP,881258,ORD801121,2000,Capture,Completed,BNPL,395.85,5.1,AED,2025-09-25 13:05:31+0400,2025-09-25 09:05:31+0000,2025-09-03
PSP,881259,ORD801122,2005,Capture,Completed,VISA,53.7,0.76,SAR,2025-09-09 08:45:41+0300,2025-09-09 05:45:41+0000,2025-09-03
PSP,881260,ORD801123,2001,Capture,Completed,MASTERCARD,253.56,2.48,AED,2025-09-08 02:53:13+0400,2025-09-07 22:53:13+0000,2025-09-03
PSP,881261,ORD801124,2000,Capture,Completed,VISA,670.2,11.91,AED,2025-09-17 22:27:06+0400,2025-09-17 18:27:06+0000,2025-09-03
PSP,881262,ORD801126,2001,Capture,Completed,VISA,107.98,1.63,AED,2025-09-08 20:52:40+0400,2025-09-08 16:52:40+0000,2025-09-03
