source_system,return_id,order_number,line_number,store_id,quantity_returned,refund_net_native,currency_code,return_reason_code,return_local_ts,return_utc_ts,ingestion_date
OMS,990164,ORD802420,1,2000,2,117.91,AED,Damaged,2025-10-17 02:42:16+0400,2025-10-16 22:42:16+0000,2025-10-20
OMS,990165,ORD802423,2,2001,1,49.89,AED,ChangedMind,2025-10-11 06:49:15+0400,2025-10-11 02:49:15+0000,2025-10-20
OMS,990166,ORD802424,1,2003,3,454.1,SAR,WrongItem,2025-11-04 17:25:02+0300,2025-11-04 14:25:02+0000,2025-10-20
OMS,990167,ORD802446,1,2002,1,96.23,AED,Damaged,2025-11-03 16:13:59+0400,2025-11-03 12:13:59+0000,2025-10-20
OMS,990168,ORD802456,1,2006,1,87.67,AED,Damaged,2025-11-02 22:39:40+0400,2025-11-02 18:39:40+0000,2025-10-20
OMS,990169,ORD802490,1,2003,1,62.95,SAR,WrongItem,2025-10-15 08:17:20+0300,2025-10-15 05:17:20+0000,2025-10-20
OMS,990170,ORD802497,1,2004,2,90.94,SAR,Damaged,2025-11-01 21:12:20+0300,2025-11-01 18:12:20+0000,2025-10-20
OMS,990171,ORD802499,1,2001,1,80.73,AED,WrongItem,2025-10-27 12:09:47+0400,2025-10-27 08:09:47+0000,2025-10-20
OMS,990172,ORD802503,2,2006,1,61.46,AED,ChangedMind,2025-11-13 14:05:25+0400,2025-11-13 10:05:25+0000,2025-10-20
OMS,990173,ORD802558,1,2001,3,51.02,AED,Damaged,2025-10-28 23:28:41+0400,2025-10-28 19:28:41+0000,2025-10-20
OMS,990174,ORD802563,1,2005,1,109.17,SAR,WrongItem,2025-10-18 21:58:33+0300,2025-10-18 18:58:33+0000,2025-10-20
OMS,990175,ORD802589,1,2003,1,33.89,SAR,LateDelivery,2025-10-21 21:45:27+0300,2025-10-21 18:45:27+0000,2025-10-20
OMS,990176,ORD802605,1,2005,1,22.14,SAR,Damaged,2025-10-14 03:17:23+0300,2025-10-14 00:17:23+0000,2025-10-20
OMS,990177,ORD802608,1,2007,2,87.29,SAR,LateDelivery,2025-10-30 12:18:04+0300,2025-10-30 09:18:04+0000,2025-10-20
OMS,990178,ORD802621,2,2000,1,111.24,AED,LateDelivery,2025-10-22 19:38:51+0400,2025-10-22 15:38:51+0000,2025-10-20
OMS,990179,ORD802626,1,2006,1,97.06,AED,WrongItem,2025-10-28 20:04:15+0400,2025-10-28 16:04:15+0000,2025-10-20
OMS,990180,ORD802644,2,2000,2,120.19,AED,LateDelivery,2025-10-14 00:20:32+0400,2025-10-13 20:20:32+0000,2025-10-20
OMS,990181,ORD802675,4,2003,1,70.36,SAR,Damaged,2025-10-21 16:41:11+0300,2025-10-21 13:41:11+0000,2025-10-20
OMS,990182,ORD802681,1,2007,1,91.87,SAR,Damaged,2025-11-12 14:07:09+0300,2025-11-12 11:07:09+0000,2025-10-20
OMS,990183,ORD802685,1,2007,2,158.15,SAR,Damaged,2025-10-25 17:04:25+0300,2025-10-25 14:04:25+0000,2025-10-20
OMS,990184,ORD802694,1,2002,2,62.25,AED,ChangedMind,2025-10-11 03:53:15+0400,2025-10-10 23:53:15+0000,2025-10-20
