source_system,order_number,store_id,customer_id_nat,channel,final_status,order_local_ts,order_utc_ts,order_flag,ingestion_date
OMS,ORD802400,2004,CUST002015,POS,Completed,2025-10-04 00:15:17+0300,2025-10-03 21:15:17+0000,,2025-10-03
OMS,ORD802401,2002,CUST001214,Web,Cancelled,2025-10-26 02:20:36+0400,2025-10-25 22:20:36+0000,,2025-10-03
OMS,ORD802402,2004,CUST000049,Web,Completed,2025-10-19 19:55:16+0300,2025-10-19 16:55:16+0000,,2025-10-03
OMS,ORD802403,2001,CUST001338,Web,Completed,2025-10-22 08:31:02+0400,2025-10-22 04:31:02+0000,,2025-10-03
OMS,ORD802404,2001,CUST000339,Web,Completed,2025-10-18 04:34:18+0400,2025-10-18 00:34:18+0000,,2025-10-03
OMS,ORD802405,2001,CUST000586,Web,Completed,2025-10-06 07:16:43+0400,2025-10-06 03:16:43+0000,,2025-10-03
OMS,ORD802406,2006,CUST000545,POS,Completed,2025-10-26 06:55:35+0400,2025-10-26 02:55:35+0000,,2025-10-03
OMS,ORD802407,2007,CUST001038,Web,Fulfilled,2025-10-11 22:20:19+0300,2025-10-11 19:20:19+0000,,2025-10-03
OMS,ORD802408,2003,CUST001698,Marketplace,Cancelled,2025-10-08 12:01:50+0300,2025-10-08 09:01:50+0000,,2025-10-03
OMS,ORD802409,2007,CUST002451,Web,Completed,2025-10-21 05:33:03+0300,2025-10-21 02:33:03+0000,,2025-10-03
OMS,ORD802410,2004,CUST000607,POS,Completed,2025-10-17 08:39:06+0300,2025-10-17 05:39:06+0000,,2025-10-03
OMS,ORD802411,2005,CUST000782,POS,Completed,2025-10-18 02:38:20+0300,2025-10-17 23:38:20+0000,,2025-10-03
OMS,ORD802412,2006,CUST000663,Web,Completed,2025-10-07 19:29:35+0400,2025-10-07 15:29:35+0000,,2025-10-03
OMS,ORD802413,2000,CUST001105,POS,Cancelled,2025-10-10 19:55:15+0400,2025-10-10 15:55:15+0000,,2025-10-03
OMS,ORD802414,2007,CUST001513,POS,Completed,2025-10-30 22:02:15+0300,2025-10-30 19:02:15+0000,,2025-10-03
OMS,ORD802415,2004,CUST000102,POS,Completed,2025-10-30 15:34:58+0300,2025-10-30 12:34:58+0000,,2025-10-03
