fx_date,from_ccy,to_ccy,rate_to_aed,source_system
2025-09-01,SAR,AED,0.9869,ERP
2025-09-01,AED,AED,1.0,ERP
2025-09-02,SAR,AED,0.9761,ERP
2025-09-02,AED,AED,1.0,ERP
2025-09-03,SAR,AED,0.9837,ERP
2025-09-03,AED,AED,1.0,ERP
2025-09-04,SAR,AED,0.9778,ERP
2025-09-04,AED,AED,1.0,ERP
2025-09-05,SAR,AED,0.9754,ERP
2025-09-05,AED,AED,1.0,ERP
2025-09-06,SAR,AED,0.9818,ERP
2025-09-06,AED,AED,1.0,ERP
2025-09-07,SAR,AED,0.9809,ERP
2025-09-07,AED,AED,1.0,ERP
2025-09-08,SAR,AED,0.9794,ERP
2025-09-08,AED,AED,1.0,ERP
2025-09-09,SAR,AED,0.98,ERP
2025-09-09,AED,AED,1.0,ERP
2025-09-10,SAR,AED,0.9778,ERP
2025-09-10,AED,AED,1.0,ERP
2025-09-11,SAR,AED,0.9819,ERP
2025-09-11,AED,AED,1.0,ERP
2025-09-12,SAR,AED,0.9783,ERP
2025-09-12,AED,AED,1.0,ERP
2025-09-13,SAR,AED,0.9803,ERP
2025-09-13,AED,AED,1.0,ERP
2025-09-14,SAR,AED,0.9846,ERP
2025-09-14,AED,AED,1.0,ERP
2025-09-15,SAR,AED,0.9749,ERP
2025-09-15,AED,AED,1.0,ERP
2025-09-16,SAR,AED,0.9779,ERP
2025-09-16,AED,AED,1.0,ERP
2025-09-17,SAR,AED,0.9775,ERP
2025-09-17,AED,AED,1.0,ERP
2025-09-18,SAR,AED,0.977,ERP
2025-09-18,AED,AED,1.0,ERP
2025-09-19,SAR,AED,0.9748,ERP
2025-09-19,AED,AED,1.0,ERP
2025-09-20,SAR,AED,0.979,ERP
2025-09-20,AED,AED,1.0,ERP
2025-09-21,SAR,AED,0.9807,ERP
2025-09-21,AED,AED,1.0,ERP
2025-09-22,SAR,AED,0.9796,ERP
2025-09-22,AED,AED,1.0,ERP
2025-09-23,SAR,AED,0.9737,ERP
2025-09-23,AED,AED,1.0,ERP
2025-09-24,SAR,AED,0.9828,ERP
2025-09-24,AED,AED,1.0,ERP
2025-09-25,SAR,AED,0.9829,ERP
2025-09-25,AED,AED,1.0,ERP
2025-09-26,SAR,AED,0.9803,ERP
2025-09-26,AED,AED,1.0,ERP
2025-09-27,SAR,AED,0.9761,ERP
2025-09-27,AED,AED,1.0,ERP
2025-09-28,SAR,AED,0.9766,ERP
2025-09-28,AED,AED,1.0,ERP
2025-09-29,SAR,AED,0.9878,ERP
2025-09-29,AED,AED,1.0,ERP
2025-09-30,SAR,AED,0.9869,ERP
2025-09-30,AED,AED,1.0,ERP
